,Competência do TCU,Contrato Administrativo,Convênio,Desestatização,Direito Processual,Finanças Públicas,Gestão Administrativa,Licitação,Pessoal,Responsabilidade,accuracy,macro avg,weighted avg
mean,0.5007564305012733,0.6298694308070574,0.5181700713081487,0.2526243648824294,0.7518948400009114,0.5608298309130599,0.5849028262834938,0.8367260269631508,0.9512669400946985,0.7394737494214133,0.7787739558686212,0.6326514511175637,0.7730682450392241
std,0.106850841592312,0.04145005806228878,0.054284244699338624,0.16028852166225238,0.019285043288566485,0.0530111106665663,0.10050716013087896,0.019426979382152734,0.009268794881241937,0.027705388253228738,0.015527244153920683,0.024341679789506455,0.015853690788774626
